,year,track_rank,search_artist,search_query,track_popularity,duration_min,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,k_labels,clusters
14,Level,15,Industrial Production Managers,ABC,62,2.96,94.769,0.715,0.678,8,-11.842,1,0.0475,0.486,0.000192,0.15,0.947,1,Technology
15,Level,16,Quality Control Systems Managers,The Love You Save,46,3.02,113.656,0.755,0.713,9,-10.953,0,0.0513,0.411,0,0.118,0.946,1,Technology
16,Level,17,Geothermal Production Managers,Cracklin' Rosie,62,3,127.827,0.562,0.503,1,-14.836,1,0.0335,0.319,0,0.163,0.846,1,Technology
17,Level,18,Biofuels Production Managers,Candida,54,2.95,123.127,0.774,0.58,1,-10.08,1,0.0512,0.158,0,0.0458,0.923,1,Technology
18,Level,19,Biomass Power Plant Managers,Thank You,51,4.86,105.822,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,1,Technology
19,Level,20,Methane/Landfill Gas Collection System Operators,Spill the Wine,41,4.03,120.368,0.818,0.528,2,-10.666,0,0.0716,0.377,0,0.131,0.896,1,Technology
20,Level,21,Hydroelectric Production Managers,O-o-h Child,62,3.29,88.369,0.488,0.754,5,-7.95,0,0.0381,0.00154,2.42E-05,0.678,0.664,1,Technology
21,Level,22,Purchasing Managers,Spirit in the Sky,73,4.05,128.903,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,0,Technology
22,Level,23,"Transportation, Storage, and Distribution Managers",Lay Down,35,7.67,94.372,0.317,0.866,7,-4.896,1,0.0703,0.426,0.000445,0.0792,0.603,0,Technology
23,Level,24,Transportation Managers,Ball of Confusion (That's What the World Is Today),0,4.1,80.145,0.6,0.628,5,-10.302,1,0.0482,0.127,2.54E-05,0.0799,0.9,1,Technology
24,Level,25,Storage and Distribution Managers,Love on a Two-Way Street,42,3.62,141.357,0.472,0.339,2,-10.969,1,0.0392,0.61,0,0.289,0.242,2,Technology
25,Level,26,Logistics Managers,Which Way You Goin' Billy?,36,3.39,93.406,0.508,0.67,1,-10.834,1,0.0346,0.416,0.0575,0.0868,0.646,2,Technology
26,Level,27,Compensation and Benefits Managers,All Right Now,68,5.51,120.059,0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,1,Technology
27,Level,28,Human Resources Managers,I Want You Back,74,2.94,196.605,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,1,Technology
28,Level,29,Training and Development Managers,"Julie, Do Ya Love Me",33,2.88,82.177,0.425,0.41,9,-15.881,1,0.0341,0.507,2.18E-06,0.3,0.664,2,Technology
29,Level,30,"Farmers, Ranchers, and Other Agricultural Managers",Green-Eyed Lady,48,3.66,149.304,0.564,0.523,7,-12.908,1,0.122,0.178,0.0303,0.0624,0.89,1,Technology
30,Level,31,Nursery and Greenhouse Managers,"Signed, Sealed, Delivered I'm Yours",76,2.69,108.875,0.675,0.597,5,-11.329,1,0.0337,0.0534,0,0.0986,0.828,1,Technology
31,Level,32,Farm and Ranch Managers,Ride Captain Ride,51,3.76,125.545,0.547,0.655,2,-11.707,1,0.0414,0.136,0.00737,0.116,0.649,1,Technology
32,Level,33,Aquacultural Managers,Venus,66,3.13,128.111,0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,1,Technology
33,Level,34,Construction Managers,Instant Karma!,57,3.34,119.976,0.628,0.931,9,-9.973,1,0.0968,0.000689,0.00146,0.0997,0.144,0,Technology
34,Level,35,"Education Administrators, Preschool and Childcare Center/Program",Patches,45,3.23,80.844,0.639,0.544,4,-12.843,1,0.141,0.617,0,0.479,0.793,2,Technology
35,Level,36,"Education Administrators, Elementary and Secondary School",Lookin' out My Back Door,66,2.54,105.318,0.745,0.656,10,-6.393,1,0.0405,0.188,0.00337,0.0941,0.858,1,Technology
36,Level,37,"Education Administrators, Postsecondary",Rainy Night in Georgia,49,3.89,75.165,0.301,0.309,4,-19.155,0,0.042,0.524,0.0758,0.129,0.384,2,Technology
37,Level,38,"Education Administrators, All Other",Something's Burning,31,4.03,89.802,0.425,0.34,9,-14.913,1,0.0338,0.352,0.000824,0.0696,0.418,2,Technology
39,Level,40,Distance Learning Coordinators,Love Grows,52,2.91,108.625,0.568,0.824,9,-4.613,1,0.0299,0.403,0,0.0855,0.753,1,Technology
40,Level,41,Fitness and Wellness Coordinators,The Long and Winding Road,62,3.64,132.282,0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,2,Technology
41,Level,42,Architectural and Engineering Managers,Snowbird,47,2.24,104.117,0.531,0.48,9,-10.633,1,0.0366,0.256,0.000136,0.0908,0.881,1,Technology
42,Level,43,Biofuels/Biodiesel Technology and Product Development Managers,Reflections of My Life,42,4.19,92.668,0.388,0.406,7,-10.666,1,0.0266,0.572,0.0351,0.295,0.51,2,Technology
43,Level,44,Food Service Managers,Hey There Lonely Girl,44,3.61,94.007,0.389,0.322,9,-10.923,1,0.0282,0.693,2.08E-06,0.0814,0.343,2,Technology
44,Level,45,Funeral Service Managers,The Rapper,34,2.71,120.376,0.822,0.7,9,-6.383,1,0.0326,0.141,0.00827,0.668,0.961,1,Technology
45,Level,46,Gaming Managers,"He Ain't Heavy, He's My Brother",48,4.3,75.734,0.309,0.441,7,-6.524,1,0.0291,0.409,1.73E-05,0.513,0.217,2,Technology
46,Level,47,Lodging Managers,"Tighter, Tighter",41,2.81,162.032,0.407,0.826,8,-10.014,0,0.053,0.0409,0.00014,0.0486,0.794,1,Technology
47,Level,48,Medical and Health Services Managers,Come and Get It,48,2.39,94.004,0.616,0.629,8,-6.9,1,0.0263,0.0285,1.32E-06,0.208,0.606,0,Technology
48,Level,49,Natural Sciences Managers,Cecilia (Simon & Garfunkel song),72,2.91,102.762,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17E-06,0.22,0.954,1,Technology
49,Level,50,Clinical Research Coordinators,Love Land,21,3.12,96.356,0.669,0.514,0,-11.221,0,0.0303,0.477,0,0.307,0.866,1,Technology
50,Level,51,Water Resource Specialists,Turn Back the Hands of Time,39,2.98,117.794,0.563,0.655,6,-6.399,1,0.032,0.168,0,0.0484,0.866,1,Technology
51,Level,52,Postmasters and Mail Superintendents,Lola,68,4.02,152.113,0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,1,Technology
52,Level,53,"Property, Real Estate, and Community Association Managers",In the Summertime,65,3.53,82.751,0.754,0.449,4,-14.013,1,0.0615,0.724,0,0.162,0.973,2,Technology
53,Level,54,Social and Community Service Managers,Indiana Wants Me,33,3.59,88.682,0.531,0.834,8,-3.87,1,0.0405,0.0614,0.00192,0.314,0.705,1,Technology
54,Level,55,Emergency Management Directors,(I Know) I'm Losing You,32,3.6,100.608,0.463,0.553,6,-14.648,1,0.0465,0.573,3.66E-05,0.315,0.715,2,Technology
55,Level,56,"Managers, All Other","Easy Come, Easy Go",21,2.67,142.823,0.539,0.386,4,-11.197,1,0.0338,0.853,0.000522,0.708,0.755,2,Technology
56,Level,57,Regulatory Affairs Managers,Express Yourself (Charles Wright & the Watts 103rd Street Rhythm Band song),58,3.89,92.311,0.789,0.683,8,-8.835,1,0.086,0.48,0,0.35,0.882,1,Technology
58,Level,59,Compliance Managers,Make Me Smile,45,2.98,124.78,0.619,0.773,8,-7.345,1,0.063,0.129,0.0487,0.519,0.722,1,Technology
59,Level,60,Investment Fund Managers,The House of the Rising Sun,23,4.73,114.49,0.315,0.776,9,-6.443,1,0.0695,0.191,0.000288,0.149,0.212,0,Technology
60,Level,61,Supply Chain Managers,25 or 6 to 4,63,4.83,147.448,0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,1,Technology
61,Level,62,Security Managers,My Baby Loves Lovin',40,2.62,132.083,0.685,0.743,10,-12.346,1,0.0546,0.614,0,0.0815,0.714,2,Technology
62,Level,63,Loss Prevention Managers,Love or Let Me Be Lonely,31,3.34,96.453,0.525,0.433,9,-16.626,1,0.0386,0.158,2.79E-05,0.114,0.462,2,Technology
64,Level,65,Wind Energy Operations Managers,We've Only Just Begun,5,2.81,93.886,0.406,0.483,9,-11.337,1,0.0247,0.271,0.765,0.171,0.363,2,Technology
65,Level,66,Wind Energy Project Managers,Arizona,40,3.14,81.18,0.479,0.453,3,-12.806,1,0.0472,0.225,0.00038,0.143,0.756,1,Technology
66,Level,67,Brownfield Redevelopment Specialists and Site Managers,Fire and Rain,71,3.39,76.271,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,2,Technology
67,Level,68,"Agents and Business Managers of Artists, Performers, and Athletes",Groovy Situation,27,3.22,88.212,0.567,0.444,5,-14.367,1,0.0516,0.451,0,0.546,0.769,2,Technology
68,Level,69,"Buyers and Purchasing Agents, Farm Products",Evil Ways,59,3.97,117.472,0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,1,Technology
69,Level,70,"Wholesale and Retail Buyers, Except Farm Products",No Time,43,3.83,127.555,0.477,0.693,0,-6.348,1,0.0351,0.323,2.13E-06,0.192,0.593,0,Technology
70,Level,71,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Didn't I,55,3.35,140.588,0.484,0.59,9,-6.663,1,0.0283,0.795,0.00306,0.155,0.324,2,Technology
71,Level,72,"Claims Adjusters, Examiners, and Investigators",The Wonder of You,62,3.63,89.521,0.29,0.593,7,-7.971,1,0.039,0.563,0.0235,0.127,0.275,2,Technology
72,Level,73,"Claims Examiners, Property and Casualty Insurance",Up Around the Bend,68,2.69,130.318,0.589,0.85,2,-6.143,1,0.0343,0.0606,0.779,0.274,0.813,1,Technology
73,Level,74,"Insurance Adjusters, Examiners, and Investigators",(If You Let Me Make Love To You Then) Why Can't I Touch You?,20,3.4,93.907,0.398,0.692,0,-8.596,1,0.045,0.496,0,0.394,0.65,2,Technology
74,Level,75,"Insurance Appraisers, Auto Damage",I Just Can't Help Believing,26,3.26,129.006,0.716,0.548,5,-8.213,1,0.0307,0.195,0.000328,0.192,0.677,1,Technology
75,Level,76,Compliance Officers,It's a Shame,62,3.17,198.731,0.372,0.642,11,-11.955,1,0.0594,0.0947,0,0.117,0.705,1,Technology
76,Level,77,Environmental Compliance Inspectors,For the Love of Him,11,2.53,114.977,0.699,0.359,0,-9.659,1,0.0371,0.166,0,0.673,0.427,0,Technology
77,Level,78,Licensing Examiners and Inspectors,Mississippi Queen,67,2.52,139.714,0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,1,Technology
78,Level,79,Equal Opportunity Representatives and Officers,I Want to Take You Higher,22,2.88,116.93,0.662,0.92,1,-6.898,1,0.123,0.486,0,0.101,0.832,1,Technology
79,Level,80,Government Property Inspectors and Investigators,The Letter,34,4.18,176.229,0.311,0.827,8,-8.056,1,0.099,0.0543,0.305,0.631,0.843,1,Technology
80,Level,81,Coroners,Ma Belle Amie,36,3.25,86.562,0.425,0.503,7,-10.973,1,0.0458,0.1,0.000749,0.169,0.701,1,Technology
81,Level,82,Regulatory Affairs Specialists,The Bells,40,2.88,173.778,0.242,0.696,7,-5.092,0,0.0527,0.348,0,0.209,0.458,0,Technology
82,Level,83,Cost Estimators,Yellow River,49,2.77,129.851,0.627,0.544,4,-11.436,1,0.029,0.0859,0,0.152,0.877,1,Technology
84,Level,85,Human Resources Specialists,Vehicle,48,2.97,101.751,0.474,0.734,10,-8.813,0,0.0426,0.0871,0.00356,0.26,0.926,1,Technology
85,Level,86,Farm Labor Contractors,Gimme Dat Ding,31,2.24,96.791,0.649,0.741,7,-9.469,1,0.0414,0.598,2.15E-06,0.0295,0.918,1,Technology
86,Level,87,Labor Relations Specialists,Lay a Little Lovin' on Me,18,3.81,107.751,0.42,0.729,1,-9.849,1,0.0817,0.483,0.00295,0.0369,0.795,1,Technology
87,Level,88,Logisticians,Up the Ladder to the Roof,35,3.19,120.157,0.533,0.567,10,-13.743,1,0.0539,0.549,2.61E-06,0.177,0.658,2,Technology
88,Level,89,Logistics Engineers,Travelin' Band,58,2.12,166.186,0.513,0.92,6,-6.664,1,0.0511,0.0166,0.0282,0.178,0.963,1,Technology
89,Level,90,Logistics Analysts,Come Saturday Morning,34,3.1,155.247,0.168,0.593,2,-10.781,1,0.0387,0.265,0.00121,0.189,0.718,0,Technology
90,Level,91,Management Analysts,Psychedelic Shack,38,3.84,108.94,0.663,0.822,5,-13.119,0,0.059,0.199,8.69E-06,0.0626,0.818,1,Technology
91,Level,92,"Meeting, Convention, and Event Planners",Without Love,42,3.76,148.307,0.309,0.282,5,-13.921,1,0.0325,0.569,0.00879,0.108,0.31,2,Technology
92,Level,93,Fundraisers,Are You Ready? (Pacific Gas & Electric song),29,5.77,137.303,0.604,0.625,4,-12.339,0,0.0646,0.0448,9.75E-06,0.135,0.811,1,Technology
93,Level,94,"Compensation, Benefits, and Job Analysis Specialists",Woodstock,53,3.9,118.928,0.458,0.539,4,-12.402,0,0.0571,0.121,0.00944,0.17,0.56,0,Technology
94,Level,95,Training and Development Specialists,I'll Never Fall in Love Again,55,2.91,136.882,0.676,0.339,1,-13.805,1,0.0509,0.717,9.77E-06,0.109,0.756,2,Technology
95,Level,96,Market Research Analysts and Marketing Specialists,Look What They've Done to My Song Ma,9,3.38,137.296,0.412,0.456,9,-11.397,1,0.0339,0.583,0,0.274,0.401,2,Technology
96,Level,97,"Business Operations Specialists, All Other",Walk A Mile In My Shoes,27,4.13,111.596,0.631,0.536,9,-12.135,1,0.0279,0.403,0.836,0.132,0.8,1,Technology
97,Level,98,Energy Auditors,The Thrill Is Gone,62,5.02,86.644,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,0,Technology
98,Level,99,Security Management Specialists,It's Only Make Believe,42,2.46,112.742,0.448,0.558,0,-5.482,1,0.0299,0.191,0.000735,0.276,0.537,0,Technology
99,Level,100,Customs Brokers,Call Me,42,3.95,118.391,0.517,0.375,7,-11.527,1,0.0341,0.682,1.28E-06,0.458,0.306,2,Technology
100,Level,1,Business Continuity Planners,Joy to the World,64,3.68,126.867,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,1,Technology
101,Level,2,Sustainability Specialists,Maggie May,71,5.84,129.449,0.605,0.574,2,-10.536,1,0.0377,0.559,0.113,0.0684,0.543,2,Technology
102,Level,3,Online Merchants,It's Too Late,67,3.89,208.282,0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,2,Technology
103,Level,4,Accountants and Auditors,One Bad Apple,34,2.75,101.041,0.6,0.567,0,-7.163,1,0.0398,0.382,0,0.213,0.92,1,Technology
104,Level,5,Accountants,How Can You Mend a Broken Heart,76,4.76,103.564,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,1,Technology
105,Level,6,Auditors,Indian Reservation,45,2.87,131.714,0.639,0.385,2,-13.253,1,0.0759,0.284,0.00193,0.0873,0.209,2,Technology
106,Level,7,Appraisers and Assessors of Real Estate,Go Away Little Girl,34,2.51,101.814,0.302,0.521,7,-5.391,1,0.0354,0.72,4.74E-06,0.123,0.364,2,Technology
107,Level,8,Assessors,"Take Me Home, Country Roads",76,3.3,164.267,0.255,0.43,9,-12.564,1,0.0322,0.546,1.87E-05,0.188,0.546,2,Technology
108,Level,9,"Appraisers, Real Estate",Just My Imagination,63,3.8,92.472,0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,2,Technology
109,Level,10,Budget Analysts,Knock Three Times,54,2.95,123.127,0.774,0.58,1,-10.08,1,0.0512,0.158,0,0.0458,0.923,1,Technology
110,Level,11,Credit Analysts,Me and Bobby McGee,70,4.52,93.405,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84E-05,0.152,0.66,2,Technology
111,Level,12,Financial Analysts,Tired of Being Alone,66,2.87,97.964,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,2,Technology
112,Level,13,Personal Financial Advisors,Want Ads,34,2.77,189.684,0.651,0.812,1,-6.912,1,0.239,0.33,0.000131,0.0833,0.927,1,Technology
113,Level,14,Insurance Underwriters,Smiling Faces Sometimes,51,3.31,105.155,0.551,0.461,11,-11.778,1,0.0255,0.252,2.39E-06,0.0541,0.739,1,Technology
114,Level,15,Financial Examiners,Treat Her Like a Lady (Cornelius Brothers & Sister Rose song),45,2.67,131.4,0.775,0.476,11,-8.539,0,0.0355,0.191,0,0.132,0.928,1,Technology
115,Level,16,Credit Counselors,You've Got a Friend,57,4.48,91.787,0.689,0.2,9,-18.634,1,0.0309,0.795,0.0327,0.0893,0.478,2,Technology
116,Level,17,Loan Counselors,Mr. Big Stuff,63,2.74,93.236,0.886,0.491,8,-12.589,1,0.171,0.29,2.46E-06,0.229,0.971,1,Technology
117,Level,18,Loan Officers,Brown Sugar,25,3.84,128.588,0.633,0.933,0,-3.572,1,0.0349,0.234,0.000161,0.072,0.965,1,Technology
118,Level,19,"Tax Examiners and Collectors, and Revenue Agents",Do You Know What I Mean,47,3.2,109.081,0.788,0.865,0,-9.729,1,0.0575,0.131,1.58E-05,0.0238,0.947,1,Technology
119,Level,20,Tax Preparers,The Night They Drove Old Dixie Down,55,3.43,129.242,0.564,0.357,1,-12.752,1,0.0326,0.558,0,0.233,0.477,2,Technology
120,Level,21,"Financial Specialists, All Other",What's Going On,2,3.88,101.472,0.462,0.823,1,-6.355,0,0.0801,0.435,0,0.53,0.782,1,Technology
121,Level,22,Financial Quantitative Analysts,Uncle Albert/Admiral Halsey,54,4.92,91.786,0.371,0.507,7,-9.805,1,0.0325,0.58,0.0201,0.175,0.535,2,Technology
122,Level,23,Risk Management Specialists,Ain't No Sunshine,76,2.08,79.593,0.479,0.416,4,-11.451,0,0.124,0.457,1.72E-05,0.118,0.514,2,Technology
123,Level,24,Investment Underwriters,Signs,50,4.03,153.672,0.446,0.731,2,-10.302,1,0.0519,0.243,0,0.0935,0.723,1,Technology
124,Level,25,"Fraud Examiners, Investigators and Analysts",She's a Lady,60,2.9,119.702,0.51,0.876,2,-9.101,1,0.161,0.212,0,0.248,0.624,1,Technology
125,Level,26,Computer and Information Research Scientists,Superstar,31,4.26,122.079,0.385,0.659,9,-5.442,1,0.0405,0.0557,0,0.407,0.53,0,Technology
127,Level,28,Computer Systems Analysts,Amos Moses,53,2.32,105.541,0.738,0.723,2,-10.356,1,0.0728,0.4,0.00134,0.0166,0.95,1,Technology
128,Level,29,Informatics Nurse Specialists,Temptation Eyes,40,2.65,134.892,0.555,0.869,3,-5.479,1,0.0278,0.0104,0.000156,0.108,0.84,1,Technology
129,Level,30,Information Security Analysts,Superstar,4,3.62,88.475,0.475,0.341,8,-11.93,1,0.0326,0.807,0.822,0.201,0.309,2,Technology
130,Level,31,Computer Programmers,My Sweet Lord,75,4.69,120.919,0.537,0.701,1,-8.913,0,0.0335,0.0972,0,0.0832,0.583,0,Technology
131,Level,32,"Software Developers, Applications",Sweet and Innocent,22,3.04,125.524,0.762,0.786,0,-5.08,1,0.044,0.498,0.000201,0.141,0.969,1,Technology
132,Level,33,"Software Developers, Systems Software",Put Your Hand in the Hand,33,2.95,136.384,0.833,0.475,9,-14.951,1,0.0403,0.0489,0.000104,0.0759,0.978,1,Technology
133,Level,34,Web Developers,Chick-A-Boom (Don't Ya Jes' Love It),27,2.86,124.557,0.781,0.732,0,-6.766,1,0.0505,0.0343,0,0.173,0.962,1,Technology
134,Level,35,Database Administrators,For All We Know,0,2.51,136.281,0.743,0.136,7,-19.914,1,0.0691,0.924,0.208,0.237,0.46,2,Technology
135,Level,36,Network and Computer Systems Administrators,Help Me Make It Through the Night,51,2.59,78.035,0.559,0.35,8,-12.01,1,0.0245,0.605,0.000443,0.102,0.413,2,Technology
136,Level,37,Computer Network Architects,Rainy Days and Mondays,3,3.5,77.571,0.363,0.37,0,-12.364,0,0.0284,0.164,0.921,0.107,0.238,2,Technology
137,Level,38,Telecommunications Engineering Specialists,If You Could Read My Mind,61,3.81,122.565,0.612,0.24,9,-12.821,1,0.033,0.745,7.86E-05,0.115,0.223,2,Technology
138,Level,39,Computer User Support Specialists,"Gypsys, Tramps & Thieves",55,2.63,170.879,0.476,0.677,0,-11.175,1,0.0365,0.211,0,0.0601,0.691,1,Technology
139,Level,40,Computer Network Support Specialists,Never Can Say Goodbye,48,3,166.139,0.527,0.821,2,-7.19,1,0.047,0.337,1.68E-06,0.394,0.835,1,Technology
140,Level,41,"Computer Occupations, All Other",Rose Garden,59,2.93,131.064,0.589,0.501,0,-11.665,1,0.031,0.168,0,0.0741,0.969,1,Technology
141,Level,42,Software Quality Assurance Engineers and Testers,Don't Pull Your Love,51,2.72,100.29,0.618,0.833,7,-4.007,1,0.0338,0.618,0,0.299,0.896,1,Technology
142,Level,43,Computer Systems Engineers/Architects,It Don't Come Easy,54,3.07,123.191,0.609,0.624,7,-11.717,1,0.0292,0.0396,0.000168,0.277,0.691,1,Technology
143,Level,44,Web Administrators,Mr. Bojangles,56,3.59,154.26,0.444,0.757,11,-6.884,0,0.0541,0.699,0,0.329,0.554,2,Technology
144,Level,45,Geospatial Information Scientists and Technologists,I Love You for All Seasons,46,3.08,77.917,0.477,0.464,7,-10.818,0,0.0272,0.567,0,0.487,0.689,2,Technology
145,Level,46,Geographic Information Systems Technicians,Whatcha See is Whatcha Get,54,3.58,152.939,0.641,0.74,6,-8.425,1,0.118,0.249,0,0.281,0.914,1,Technology
146,Level,47,Database Architects,That's the Way I've Always Heard It Should Be,43,4.3,70.387,0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,2,Technology
147,Level,48,Data Warehousing Specialists,If You Really Love Me,47,3.01,123.804,0.565,0.404,9,-10.969,0,0.0448,0.302,0,0.125,0.675,2,Technology
148,Level,49,Business Intelligence Analysts,Spanish Harlem,51,3.56,115.419,0.66,0.619,2,-12.577,1,0.0466,0.235,0.00793,0.0828,0.913,1,Technology
149,Level,50,Information Technology Project Managers,I Don't Know How to Love Him,41,3.32,79.628,0.284,0.396,3,-6.761,1,0.028,0.699,0.0386,0.129,0.303,2,Technology
150,Level,51,Search Marketing Strategists,Yo-Yo,23,3.26,138.057,0.617,0.785,2,-5.8,1,0.0565,0.636,0,0.174,0.92,1,Technology
151,Level,52,Video Game Designers,Bridge over Troubled Water,54,5.57,77.836,0.501,0.302,10,-12.529,1,0.033,0.758,0.000267,0.0888,0.386,2,Technology
152,Level,53,Document Management Specialists,Doesn't Somebody Want to Be Wanted,20,2.82,113.106,0.747,0.396,10,-13.134,1,0.0349,0.687,0,0.0452,0.852,2,Technology
153,Level,54,Actuaries,Draggin' the Line,48,2.75,114.548,0.669,0.583,1,-9.165,0,0.0689,0.0521,1.52E-05,0.177,0.647,1,Technology
154,Level,55,Mathematicians,Proud Mary,57,4.96,96.429,0.599,0.46,2,-10.729,1,0.152,0.686,3.65E-05,0.15,0.715,2,Technology
155,Level,56,Operations Research Analysts,Beginnings,44,7.9,111.215,0.52,0.932,11,-6.437,0,0.0875,0.137,0.0188,0.654,0.492,0,Technology
156,Level,57,Statisticians,Stay Awhile,33,3.38,84.353,0.601,0.249,11,-17.667,1,0.0349,0.787,0.0428,0.0803,0.476,2,Technology
157,Level,58,Biostatisticians,Sweet City Woman,0,3.52,87.996,0.68,0.752,7,-10.658,1,0.0436,0.177,0.156,0.261,0.978,1,Technology
